ID,Species,Height (m),Location Zone,Leaf Type,Flower Color,Growth Habit,Drought Resistance,Watering Frequency,Ideal Climatic Zone
1,Rosa canina,15.29,Áreas rurales de Europa,Acicular,Violeta,Arbustivo,Baja,6,Templado
2,Pinus sylvestris,38.05,Bosques boreales,Pinnada,Blanca,Arbóreo,Baja,3,Mediterráneo
3,Lilium candidum,29.41,Altiplano Andino,Espinosa,Rosa,Trepador,Alta,5,Boreal
4,Betula pendula,24.15,Áreas rurales de Europa,Palmeada,Amarilla,Herbáceo,Alta,2,Boreal
5,Quercus robur,6.66,Bosques boreales,Acicular,Blanca,Trepador,Media,6,Templado
6,Ficus carica,6.66,Sabana Africana,Ovalada,Violeta,Herbáceo,Media,4,Boreal
7,Rosa canina,2.79,Zonas costeras del Mediterráneo,Palmeada,Blanca,Rastrero,Baja,0,Desértico
8,Cactaceae echinopsis,34.71,Zonas costeras del Mediterráneo,Lobulada,Amarilla,Arbustivo,Alta,6,Templado
9,Quercus robur,24.24,Selva Amazónica,Pinnada,Sin flor visible,Rastrero,Alta,4,Tropical
10,Pinus sylvestris,28.47,Bosques boreales,Acicular,Rosa,Herbáceo,Media,5,Mediterráneo
11,Rosa canina,1.31,Zonas montañosas,Palmeada,Rosa,Herbáceo,Baja,5,Mediterráneo
12,Quercus robur,38.81,Sabana Africana,Acicular,Sin flor visible,Herbáceo,Baja,0,Mediterráneo
13,Ficus carica,33.38,Desiertos de América Latina,Palmeada,Naranja,Arbóreo,Media,1,Desértico
14,Cactaceae echinopsis,8.89,Áreas rurales de Europa,Ovalada,Amarilla,Arbustivo,Alta,0,Tropical
15,Quercus robur,7.68,Sabana Africana,Lobulada,Rosa,Rastrero,Media,3,Templado
16,Eucalyptus globulus,7.74,Bosques boreales,Lobulada,Amarilla,Rastrero,Media,6,Templado
17,Cactaceae echinopsis,12.52,Áreas templadas de Asia,Espinosa,Violeta,Trepador,Media,2,Mediterráneo
18,Pinus sylvestris,21.23,Áreas rurales de Europa,Palmeada,Amarilla,Herbáceo,Media,1,Tropical
19,Ficus carica,17.56,Bosques de Europa,Acicular,Blanca,Herbáceo,Alta,0,Tropical
20,Betula pendula,12.0,Zonas costeras del Mediterráneo,Lobulada,Sin flor visible,Herbáceo,Media,4,Tropical
21,Salvia officinalis,24.67,Bosques boreales,Pinnada,Naranja,Rastrero,Alta,1,Boreal
22,Salvia officinalis,6.01,Bosques de Europa,Lobulada,Amarilla,Trepador,Media,6,Boreal
23,Salvia officinalis,12.04,Selva Amazónica,Lanceolada,Naranja,Arbóreo,Baja,1,Mediterráneo
24,Rosa canina,14.97,Altiplano Andino,Lanceolada,Naranja,Arbustivo,Alta,6,Tropical
25,Pinus sylvestris,18.51,Desiertos de América Latina,Lobulada,Violeta,Arbóreo,Baja,0,Tropical
26,Ficus carica,31.51,Desiertos de América Latina,Palmeada,Roja,Rastrero,Media,6,Templado
27,Cactaceae echinopsis,8.39,Bosques de Europa,Espinosa,Sin flor visible,Herbáceo,Media,1,Templado
28,Rosa canina,20.81,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbustivo,Media,4,Mediterráneo
29,Pinus sylvestris,23.9,Selva Amazónica,Ovalada,Rosa,Rastrero,Alta,5,Tropical
30,Betula pendula,2.33,Áreas templadas de Asia,Acicular,Blanca,Rastrero,Baja,1,Mediterráneo
31,Eucalyptus globulus,24.5,Zonas costeras del Mediterráneo,Espinosa,Rosa,Rastrero,Alta,6,Templado
32,Ficus carica,7.24,Sabana Africana,Ovalada,Violeta,Arbustivo,Alta,5,Templado
33,Salvia officinalis,3.07,Desiertos de América Latina,Espinosa,Violeta,Arbustivo,Media,6,Boreal
34,Quercus robur,37.98,Sabana Africana,Ovalada,Rosa,Trepador,Baja,4,Mediterráneo
35,Ficus carica,38.64,Áreas rurales de Europa,Acicular,Sin flor visible,Trepador,Media,6,Mediterráneo
36,Populus alba,32.43,Zonas montañosas,Acicular,Rosa,Arbóreo,Alta,0,Tropical
37,Pinus sylvestris,12.53,Bosques boreales,Lanceolada,Amarilla,Arbustivo,Media,2,Tropical
38,Lilium candidum,4.36,Selva Amazónica,Palmeada,Rosa,Arbustivo,Baja,1,Boreal
39,Betula pendula,27.53,Zonas costeras del Mediterráneo,Ovalada,Blanca,Arbustivo,Media,2,Desértico
40,Eucalyptus globulus,17.89,Desiertos de América Latina,Lanceolada,Blanca,Trepador,Baja,6,Desértico
41,Betula pendula,5.32,Sabana Africana,Ovalada,Roja,Rastrero,Baja,4,Desértico
42,Ficus carica,20.06,Altiplano Andino,Lanceolada,Blanca,Herbáceo,Media,1,Mediterráneo
43,Lilium candidum,1.86,Áreas rurales de Europa,Acicular,Rosa,Trepador,Alta,6,Mediterráneo
44,Populus alba,36.42,Bosques boreales,Espinosa,Blanca,Arbustivo,Media,5,Templado
45,Cactaceae echinopsis,10.72,Bosques boreales,Pinnada,Sin flor visible,Trepador,Alta,3,Mediterráneo
46,Quercus robur,26.67,Zonas costeras del Mediterráneo,Lanceolada,Naranja,Arbóreo,Alta,6,Mediterráneo
47,Lilium candidum,12.81,Selva Amazónica,Ovalada,Blanca,Arbustivo,Media,2,Mediterráneo
48,Pinus sylvestris,21.04,Áreas templadas de Asia,Ovalada,Amarilla,Arbóreo,Alta,1,Boreal
49,Salvia officinalis,22.1,Altiplano Andino,Pinnada,Sin flor visible,Arbustivo,Alta,2,Mediterráneo
50,Populus alba,7.8,Zonas costeras del Mediterráneo,Palmeada,Roja,Trepador,Media,1,Tropical
51,Quercus robur,38.8,Sabana Africana,Acicular,Amarilla,Rastrero,Media,6,Tropical
52,Eucalyptus globulus,31.12,Zonas montañosas,Ovalada,Rosa,Herbáceo,Media,0,Templado
53,Salvia officinalis,37.61,Bosques de Europa,Lobulada,Naranja,Arbóreo,Alta,5,Boreal
54,Ficus carica,35.85,Áreas templadas de Asia,Espinosa,Rosa,Trepador,Baja,6,Tropical
55,Lilium candidum,24.12,Selva Amazónica,Lanceolada,Naranja,Rastrero,Alta,2,Boreal
56,Quercus robur,36.91,Áreas rurales de Europa,Palmeada,Naranja,Trepador,Baja,3,Boreal
57,Rosa canina,4.0,Áreas templadas de Asia,Pinnada,Rosa,Arbóreo,Media,3,Templado
58,Cactaceae echinopsis,8.24,Desiertos de América Latina,Espinosa,Amarilla,Herbáceo,Baja,4,Boreal
59,Cactaceae echinopsis,2.29,Selva Amazónica,Acicular,Amarilla,Trepador,Media,1,Mediterráneo
60,Populus alba,13.35,Zonas montañosas,Palmeada,Naranja,Arbustivo,Media,2,Boreal
61,Eucalyptus globulus,15.85,Desiertos de América Latina,Lanceolada,Amarilla,Rastrero,Baja,4,Templado
62,Populus alba,11.22,Áreas templadas de Asia,Lanceolada,Naranja,Trepador,Media,2,Templado
63,Rosa canina,33.24,Bosques de Europa,Pinnada,Naranja,Rastrero,Baja,1,Templado
64,Pinus sylvestris,14.59,Bosques de Europa,Lobulada,Sin flor visible,Arbustivo,Media,6,Tropical
65,Eucalyptus globulus,11.6,Zonas montañosas,Pinnada,Violeta,Herbáceo,Alta,6,Mediterráneo
66,Betula pendula,21.94,Bosques boreales,Acicular,Sin flor visible,Herbáceo,Alta,3,Tropical
67,Pinus sylvestris,6.07,Altiplano Andino,Palmeada,Rosa,Arbustivo,Media,6,Desértico
68,Eucalyptus globulus,32.19,Áreas rurales de Europa,Palmeada,Violeta,Rastrero,Media,6,Mediterráneo
69,Eucalyptus globulus,3.44,Bosques boreales,Ovalada,Blanca,Trepador,Baja,0,Boreal
70,Rosa canina,39.48,Bosques de Europa,Lobulada,Rosa,Arbustivo,Alta,3,Templado
71,Ficus carica,31.0,Bosques de Europa,Lobulada,Roja,Arbóreo,Baja,4,Desértico
72,Rosa canina,8.35,Sabana Africana,Palmeada,Sin flor visible,Rastrero,Media,5,Mediterráneo
73,Eucalyptus globulus,0.72,Desiertos de América Latina,Palmeada,Amarilla,Herbáceo,Media,0,Tropical
74,Quercus robur,32.71,Áreas templadas de Asia,Espinosa,Sin flor visible,Arbustivo,Baja,4,Templado
75,Pinus sylvestris,28.42,Áreas rurales de Europa,Espinosa,Amarilla,Herbáceo,Media,1,Tropical
76,Rosa canina,29.3,Zonas montañosas,Espinosa,Violeta,Rastrero,Alta,0,Mediterráneo
77,Ficus carica,30.97,Áreas templadas de Asia,Lobulada,Roja,Herbáceo,Baja,4,Mediterráneo
78,Lilium candidum,3.42,Sabana Africana,Ovalada,Violeta,Arbustivo,Alta,1,Desértico
79,Populus alba,14.66,Bosques de Europa,Lanceolada,Roja,Rastrero,Alta,3,Boreal
80,Eucalyptus globulus,5.08,Zonas montañosas,Espinosa,Sin flor visible,Arbóreo,Alta,5,Tropical
81,Betula pendula,34.59,Bosques de Europa,Ovalada,Amarilla,Arbustivo,Baja,1,Desértico
82,Lilium candidum,25.12,Áreas rurales de Europa,Pinnada,Violeta,Trepador,Media,6,Templado
83,Cactaceae echinopsis,13.57,Desiertos de América Latina,Acicular,Roja,Arbustivo,Alta,2,Boreal
84,Salvia officinalis,3.01,Áreas templadas de Asia,Espinosa,Naranja,Rastrero,Alta,1,Desértico
85,Ficus carica,12.78,Áreas templadas de Asia,Pinnada,Rosa,Arbustivo,Alta,1,Tropical
86,Betula pendula,13.34,Bosques boreales,Lanceolada,Rosa,Arbóreo,Media,5,Mediterráneo
87,Salvia officinalis,29.32,Zonas montañosas,Acicular,Violeta,Arbóreo,Media,2,Templado
88,Ficus carica,25.68,Altiplano Andino,Acicular,Amarilla,Trepador,Baja,6,Tropical
89,Quercus robur,35.54,Sabana Africana,Lanceolada,Naranja,Herbáceo,Media,4,Boreal
90,Populus alba,19.15,Altiplano Andino,Espinosa,Violeta,Rastrero,Baja,4,Boreal
91,Lilium candidum,5.22,Bosques boreales,Lobulada,Sin flor visible,Rastrero,Baja,1,Mediterráneo
92,Pinus sylvestris,28.67,Áreas rurales de Europa,Lanceolada,Roja,Herbáceo,Baja,2,Mediterráneo
93,Ficus carica,30.55,Sabana Africana,Lanceolada,Sin flor visible,Arbóreo,Baja,2,Templado
94,Pinus sylvestris,22.67,Desiertos de América Latina,Lanceolada,Rosa,Arbóreo,Baja,6,Templado
95,Populus alba,30.95,Altiplano Andino,Acicular,Roja,Arbustivo,Alta,5,Mediterráneo
96,Eucalyptus globulus,20.0,Desiertos de América Latina,Ovalada,Violeta,Trepador,Media,3,Mediterráneo
97,Cactaceae echinopsis,21.15,Altiplano Andino,Pinnada,Sin flor visible,Trepador,Alta,4,Boreal
98,Lilium candidum,17.39,Desiertos de América Latina,Lobulada,Blanca,Trepador,Baja,5,Mediterráneo
99,Populus alba,1.5,Altiplano Andino,Espinosa,Amarilla,Arbustivo,Media,0,Desértico
100,Populus alba,4.76,Desiertos de América Latina,Espinosa,Naranja,Trepador,Alta,4,Tropical
101,Quercus robur,1.74,Bosques boreales,Pinnada,Naranja,Herbáceo,Alta,5,Mediterráneo
102,Salvia officinalis,25.64,Selva Amazónica,Ovalada,Amarilla,Arbustivo,Baja,4,Templado
103,Cactaceae echinopsis,12.92,Sabana Africana,Lanceolada,Blanca,Herbáceo,Alta,3,Desértico
104,Lilium candidum,20.59,Zonas montañosas,Lobulada,Rosa,Arbustivo,Alta,0,Templado
105,Eucalyptus globulus,36.35,Áreas rurales de Europa,Espinosa,Roja,Trepador,Alta,3,Desértico
106,Eucalyptus globulus,10.35,Zonas costeras del Mediterráneo,Pinnada,Amarilla,Herbáceo,Alta,6,Mediterráneo
107,Rosa canina,16.71,Bosques de Europa,Palmeada,Blanca,Herbáceo,Alta,0,Tropical
108,Populus alba,30.34,Zonas montañosas,Pinnada,Violeta,Herbáceo,Baja,1,Templado
109,Ficus carica,9.54,Bosques de Europa,Espinosa,Naranja,Arbustivo,Baja,5,Desértico
110,Quercus robur,3.54,Sabana Africana,Lanceolada,Blanca,Rastrero,Alta,0,Boreal
111,Cactaceae echinopsis,11.95,Zonas montañosas,Palmeada,Rosa,Trepador,Baja,6,Mediterráneo
112,Eucalyptus globulus,6.87,Desiertos de América Latina,Ovalada,Rosa,Herbáceo,Baja,6,Tropical
113,Lilium candidum,37.22,Desiertos de América Latina,Lobulada,Sin flor visible,Rastrero,Media,3,Mediterráneo
114,Rosa canina,32.42,Zonas costeras del Mediterráneo,Ovalada,Amarilla,Trepador,Alta,4,Boreal
115,Lilium candidum,25.52,Bosques de Europa,Ovalada,Sin flor visible,Trepador,Baja,0,Tropical
116,Quercus robur,34.92,Áreas rurales de Europa,Pinnada,Naranja,Herbáceo,Baja,5,Boreal
117,Ficus carica,32.25,Sabana Africana,Lobulada,Blanca,Herbáceo,Alta,0,Mediterráneo
118,Rosa canina,7.87,Desiertos de América Latina,Lobulada,Roja,Arbustivo,Media,2,Desértico
119,Rosa canina,35.76,Selva Amazónica,Espinosa,Roja,Rastrero,Alta,4,Mediterráneo
120,Salvia officinalis,21.8,Bosques boreales,Espinosa,Rosa,Rastrero,Media,5,Mediterráneo
121,Cactaceae echinopsis,32.39,Bosques boreales,Lobulada,Roja,Herbáceo,Alta,5,Mediterráneo
122,Rosa canina,35.9,Altiplano Andino,Palmeada,Roja,Trepador,Alta,1,Templado
123,Salvia officinalis,13.06,Áreas rurales de Europa,Acicular,Naranja,Herbáceo,Alta,3,Boreal
124,Salvia officinalis,4.85,Bosques boreales,Espinosa,Roja,Trepador,Alta,1,Boreal
125,Quercus robur,9.5,Altiplano Andino,Acicular,Blanca,Trepador,Media,5,Boreal
126,Pinus sylvestris,17.37,Bosques de Europa,Pinnada,Roja,Herbáceo,Media,4,Templado
127,Lilium candidum,32.81,Desiertos de América Latina,Palmeada,Violeta,Arbóreo,Baja,0,Desértico
128,Ficus carica,34.5,Desiertos de América Latina,Lobulada,Roja,Rastrero,Alta,0,Mediterráneo
129,Betula pendula,0.77,Selva Amazónica,Palmeada,Roja,Trepador,Media,4,Desértico
130,Lilium candidum,20.67,Zonas montañosas,Espinosa,Sin flor visible,Trepador,Media,5,Templado
131,Rosa canina,16.99,Bosques boreales,Ovalada,Blanca,Arbóreo,Media,6,Boreal
132,Ficus carica,9.27,Bosques de Europa,Pinnada,Rosa,Arbustivo,Alta,0,Mediterráneo
133,Eucalyptus globulus,5.23,Áreas templadas de Asia,Lobulada,Sin flor visible,Arbóreo,Baja,6,Tropical
134,Pinus sylvestris,13.84,Bosques boreales,Lanceolada,Amarilla,Arbóreo,Media,0,Tropical
135,Eucalyptus globulus,37.74,Áreas rurales de Europa,Pinnada,Blanca,Trepador,Alta,0,Desértico
136,Eucalyptus globulus,13.27,Zonas montañosas,Acicular,Violeta,Rastrero,Media,3,Boreal
137,Cactaceae echinopsis,20.99,Bosques boreales,Palmeada,Blanca,Arbóreo,Media,3,Tropical
138,Lilium candidum,28.27,Bosques de Europa,Lobulada,Amarilla,Arbustivo,Baja,2,Desértico
139,Betula pendula,14.86,Bosques boreales,Pinnada,Amarilla,Herbáceo,Media,1,Templado
140,Quercus robur,38.89,Áreas rurales de Europa,Palmeada,Amarilla,Arbóreo,Media,4,Desértico
141,Betula pendula,38.52,Áreas templadas de Asia,Lobulada,Naranja,Arbóreo,Alta,4,Desértico
142,Eucalyptus globulus,10.45,Sabana Africana,Espinosa,Rosa,Arbustivo,Alta,4,Desértico
143,Rosa canina,20.14,Zonas costeras del Mediterráneo,Pinnada,Roja,Rastrero,Baja,2,Mediterráneo
144,Pinus sylvestris,12.38,Áreas templadas de Asia,Espinosa,Blanca,Arbóreo,Alta,3,Desértico
145,Populus alba,11.75,Altiplano Andino,Pinnada,Naranja,Arbóreo,Alta,5,Desértico
146,Betula pendula,1.96,Bosques boreales,Espinosa,Roja,Rastrero,Baja,6,Mediterráneo
147,Eucalyptus globulus,24.58,Desiertos de América Latina,Palmeada,Roja,Arbustivo,Media,6,Mediterráneo
148,Pinus sylvestris,20.36,Selva Amazónica,Lanceolada,Violeta,Arbóreo,Baja,5,Templado
149,Ficus carica,2.53,Desiertos de América Latina,Pinnada,Amarilla,Rastrero,Alta,2,Boreal
150,Lilium candidum,11.51,Áreas templadas de Asia,Pinnada,Rosa,Arbóreo,Baja,5,Tropical
151,Salvia officinalis,36.38,Desiertos de América Latina,Espinosa,Violeta,Herbáceo,Media,4,Tropical
152,Cactaceae echinopsis,9.96,Bosques de Europa,Lobulada,Sin flor visible,Trepador,Baja,1,Desértico
153,Pinus sylvestris,6.22,Desiertos de América Latina,Pinnada,Naranja,Herbáceo,Alta,0,Templado
154,Rosa canina,19.83,Zonas montañosas,Espinosa,Naranja,Arbóreo,Alta,6,Desértico
155,Rosa canina,39.43,Sabana Africana,Ovalada,Rosa,Arbustivo,Baja,3,Tropical
156,Pinus sylvestris,10.06,Bosques boreales,Espinosa,Roja,Trepador,Media,3,Mediterráneo
157,Rosa canina,27.05,Desiertos de América Latina,Palmeada,Naranja,Herbáceo,Baja,2,Boreal
158,Lilium candidum,30.58,Áreas rurales de Europa,Lanceolada,Rosa,Rastrero,Media,3,Templado
159,Rosa canina,9.89,Sabana Africana,Ovalada,Naranja,Arbustivo,Media,4,Mediterráneo
160,Betula pendula,29.26,Sabana Africana,Palmeada,Naranja,Herbáceo,Baja,6,Boreal
161,Salvia officinalis,15.03,Desiertos de América Latina,Palmeada,Amarilla,Rastrero,Media,5,Templado
162,Rosa canina,25.48,Sabana Africana,Palmeada,Sin flor visible,Arbóreo,Alta,4,Templado
163,Salvia officinalis,25.52,Selva Amazónica,Lobulada,Amarilla,Rastrero,Baja,2,Tropical
164,Eucalyptus globulus,21.66,Desiertos de América Latina,Palmeada,Sin flor visible,Herbáceo,Media,4,Mediterráneo
165,Quercus robur,4.07,Bosques de Europa,Lobulada,Naranja,Herbáceo,Alta,5,Templado
166,Lilium candidum,33.49,Áreas templadas de Asia,Palmeada,Violeta,Arbóreo,Baja,1,Templado
167,Quercus robur,13.17,Zonas montañosas,Acicular,Roja,Rastrero,Alta,2,Boreal
168,Eucalyptus globulus,7.87,Zonas costeras del Mediterráneo,Ovalada,Naranja,Rastrero,Alta,1,Tropical
169,Lilium candidum,2.11,Altiplano Andino,Acicular,Sin flor visible,Arbóreo,Alta,0,Desértico
170,Pinus sylvestris,23.84,Sabana Africana,Palmeada,Sin flor visible,Rastrero,Media,1,Tropical
171,Pinus sylvestris,27.26,Bosques de Europa,Ovalada,Sin flor visible,Arbóreo,Baja,0,Desértico
172,Salvia officinalis,1.16,Bosques boreales,Ovalada,Naranja,Arbustivo,Baja,0,Mediterráneo
173,Eucalyptus globulus,20.73,Bosques boreales,Pinnada,Rosa,Herbáceo,Media,1,Mediterráneo
174,Salvia officinalis,9.45,Altiplano Andino,Lanceolada,Violeta,Arbustivo,Baja,2,Templado
175,Cactaceae echinopsis,25.98,Zonas montañosas,Acicular,Rosa,Trepador,Alta,5,Mediterráneo
176,Rosa canina,7.39,Sabana Africana,Lanceolada,Roja,Trepador,Baja,4,Templado
177,Populus alba,27.79,Selva Amazónica,Ovalada,Naranja,Trepador,Media,4,Tropical
178,Cactaceae echinopsis,15.78,Altiplano Andino,Lobulada,Sin flor visible,Arbóreo,Alta,5,Mediterráneo
179,Rosa canina,37.5,Zonas montañosas,Ovalada,Violeta,Rastrero,Media,6,Tropical
180,Lilium candidum,5.93,Sabana Africana,Lanceolada,Violeta,Arbustivo,Alta,6,Tropical
181,Salvia officinalis,13.97,Bosques de Europa,Acicular,Blanca,Arbustivo,Alta,0,Mediterráneo
182,Lilium candidum,4.98,Áreas templadas de Asia,Palmeada,Roja,Arbustivo,Baja,0,Tropical
183,Lilium candidum,37.03,Selva Amazónica,Pinnada,Violeta,Arbustivo,Alta,2,Mediterráneo
184,Rosa canina,35.15,Zonas costeras del Mediterráneo,Pinnada,Naranja,Trepador,Media,3,Mediterráneo
185,Eucalyptus globulus,10.69,Bosques boreales,Pinnada,Sin flor visible,Arbustivo,Baja,1,Mediterráneo
186,Rosa canina,26.57,Áreas rurales de Europa,Palmeada,Sin flor visible,Rastrero,Media,0,Desértico
187,Ficus carica,32.78,Bosques de Europa,Pinnada,Violeta,Trepador,Alta,4,Tropical
188,Pinus sylvestris,22.43,Bosques boreales,Acicular,Rosa,Arbustivo,Media,2,Boreal
189,Pinus sylvestris,21.42,Desiertos de América Latina,Palmeada,Roja,Arbóreo,Media,1,Mediterráneo
190,Cactaceae echinopsis,10.05,Áreas rurales de Europa,Pinnada,Sin flor visible,Herbáceo,Alta,2,Tropical
191,Pinus sylvestris,4.18,Bosques boreales,Palmeada,Violeta,Herbáceo,Baja,1,Templado
192,Rosa canina,35.94,Zonas montañosas,Lanceolada,Sin flor visible,Herbáceo,Media,1,Mediterráneo
193,Betula pendula,36.07,Selva Amazónica,Acicular,Violeta,Trepador,Alta,5,Mediterráneo
194,Salvia officinalis,25.51,Bosques boreales,Espinosa,Roja,Arbustivo,Baja,0,Boreal
195,Rosa canina,13.89,Zonas costeras del Mediterráneo,Lobulada,Violeta,Trepador,Baja,2,Desértico
196,Rosa canina,14.29,Áreas templadas de Asia,Pinnada,Blanca,Rastrero,Baja,2,Desértico
197,Populus alba,29.18,Zonas montañosas,Lobulada,Violeta,Arbóreo,Media,5,Mediterráneo
198,Salvia officinalis,35.94,Bosques de Europa,Palmeada,Violeta,Arbóreo,Media,4,Tropical
199,Ficus carica,35.54,Bosques de Europa,Lobulada,Naranja,Herbáceo,Media,4,Templado
