ID,Species,Height (m),Location Zone,Leaf Type,Flower Color,Growth Habit,Drought Resistance,Watering Frequency,Ideal Climatic Zone
599,Betula pendula,8.1,Desiertos de América Latina,Palmeada,Sin flor visible,Arbustivo,Alta,5,Templado
600,Cactaceae echinopsis,2.11,Zonas costeras del Mediterráneo,Lanceolada,Blanca,Herbáceo,Media,4,Mediterráneo
601,Populus alba,7.17,Bosques boreales,Palmeada,Amarilla,Herbáceo,Baja,6,Boreal
602,Quercus robur,11.5,Altiplano Andino,Palmeada,Sin flor visible,Rastrero,Media,1,Boreal
603,Pinus sylvestris,7.49,Zonas montañosas,Acicular,Naranja,Herbáceo,Baja,4,Templado
604,Pinus sylvestris,4.0,Zonas costeras del Mediterráneo,Lanceolada,Amarilla,Arbóreo,Alta,3,Mediterráneo
605,Salvia officinalis,5.27,Sabana Africana,Ovalada,Roja,Arbóreo,Media,4,Boreal
606,Cactaceae echinopsis,18.7,Áreas templadas de Asia,Palmeada,Rosa,Arbóreo,Media,3,Mediterráneo
607,Salvia officinalis,8.65,Selva Amazónica,Espinosa,Naranja,Herbáceo,Media,3,Mediterráneo
608,Salvia officinalis,14.89,Áreas rurales de Europa,Espinosa,Rosa,Arbóreo,Baja,3,Boreal
609,Quercus robur,20.38,Bosques boreales,Ovalada,Rosa,Rastrero,Baja,5,Tropical
610,Rosa canina,27.77,Bosques de Europa,Espinosa,Amarilla,Herbáceo,Baja,3,Boreal
611,Cactaceae echinopsis,2.05,Zonas costeras del Mediterráneo,Lobulada,Amarilla,Trepador,Alta,3,Templado
612,Lilium candidum,32.08,Selva Amazónica,Palmeada,Blanca,Herbáceo,Baja,1,Desértico
613,Betula pendula,25.3,Bosques de Europa,Ovalada,Rosa,Rastrero,Alta,0,Boreal
614,Salvia officinalis,3.73,Bosques boreales,Lanceolada,Blanca,Trepador,Media,2,Mediterráneo
615,Ficus carica,35.01,Zonas montañosas,Palmeada,Rosa,Herbáceo,Media,0,Mediterráneo
616,Eucalyptus globulus,36.87,Zonas montañosas,Ovalada,Blanca,Arbóreo,Alta,3,Boreal
617,Ficus carica,2.91,Desiertos de América Latina,Acicular,Blanca,Arbustivo,Baja,1,Desértico
618,Quercus robur,11.44,Bosques boreales,Lanceolada,Roja,Arbustivo,Alta,4,Boreal
619,Quercus robur,32.34,Bosques boreales,Acicular,Blanca,Arbóreo,Media,1,Desértico
620,Populus alba,30.06,Bosques de Europa,Palmeada,Amarilla,Arbustivo,Media,3,Desértico
621,Rosa canina,7.79,Selva Amazónica,Lanceolada,Blanca,Arbustivo,Alta,1,Templado
622,Betula pendula,8.77,Altiplano Andino,Espinosa,Rosa,Arbóreo,Baja,6,Mediterráneo
623,Salvia officinalis,15.13,Bosques de Europa,Ovalada,Blanca,Arbóreo,Baja,1,Mediterráneo
624,Ficus carica,19.64,Áreas rurales de Europa,Palmeada,Sin flor visible,Herbáceo,Alta,3,Desértico
625,Eucalyptus globulus,24.92,Zonas montañosas,Lobulada,Violeta,Herbáceo,Alta,5,Mediterráneo
626,Quercus robur,15.07,Zonas montañosas,Lanceolada,Rosa,Arbóreo,Baja,6,Tropical
627,Quercus robur,18.77,Desiertos de América Latina,Lanceolada,Sin flor visible,Rastrero,Media,1,Desértico
628,Rosa canina,30.03,Áreas rurales de Europa,Pinnada,Rosa,Arbustivo,Alta,2,Mediterráneo
629,Eucalyptus globulus,1.95,Zonas montañosas,Palmeada,Amarilla,Herbáceo,Baja,2,Tropical
630,Eucalyptus globulus,10.47,Bosques de Europa,Palmeada,Violeta,Arbustivo,Baja,1,Templado
631,Rosa canina,28.68,Áreas rurales de Europa,Acicular,Violeta,Trepador,Media,5,Mediterráneo
632,Quercus robur,35.86,Bosques de Europa,Pinnada,Amarilla,Arbóreo,Media,4,Tropical
633,Betula pendula,20.71,Altiplano Andino,Espinosa,Violeta,Rastrero,Media,3,Boreal
634,Cactaceae echinopsis,21.52,Altiplano Andino,Acicular,Amarilla,Trepador,Media,2,Boreal
635,Cactaceae echinopsis,4.73,Zonas montañosas,Pinnada,Sin flor visible,Trepador,Media,4,Tropical
636,Rosa canina,18.17,Zonas montañosas,Acicular,Roja,Trepador,Alta,1,Desértico
637,Eucalyptus globulus,21.54,Selva Amazónica,Espinosa,Rosa,Arbóreo,Baja,4,Desértico
638,Salvia officinalis,10.08,Altiplano Andino,Pinnada,Amarilla,Herbáceo,Alta,6,Mediterráneo
639,Rosa canina,11.14,Zonas costeras del Mediterráneo,Pinnada,Rosa,Arbóreo,Alta,0,Boreal
640,Betula pendula,15.4,Zonas costeras del Mediterráneo,Lobulada,Sin flor visible,Herbáceo,Alta,2,Desértico
641,Rosa canina,1.29,Desiertos de América Latina,Acicular,Roja,Trepador,Alta,1,Desértico
642,Pinus sylvestris,13.22,Altiplano Andino,Acicular,Sin flor visible,Trepador,Alta,3,Boreal
643,Ficus carica,8.85,Bosques de Europa,Lanceolada,Violeta,Rastrero,Media,5,Templado
644,Eucalyptus globulus,13.44,Bosques de Europa,Espinosa,Rosa,Herbáceo,Media,6,Desértico
645,Populus alba,5.23,Sabana Africana,Ovalada,Naranja,Trepador,Baja,1,Tropical
646,Populus alba,35.68,Áreas rurales de Europa,Lobulada,Roja,Arbustivo,Alta,3,Mediterráneo
647,Eucalyptus globulus,23.95,Áreas templadas de Asia,Pinnada,Violeta,Rastrero,Baja,5,Desértico
648,Betula pendula,27.32,Zonas costeras del Mediterráneo,Pinnada,Roja,Arbóreo,Media,5,Desértico
649,Pinus sylvestris,31.67,Zonas montañosas,Pinnada,Violeta,Rastrero,Media,1,Templado
650,Pinus sylvestris,20.19,Desiertos de América Latina,Lobulada,Sin flor visible,Arbustivo,Media,6,Tropical
651,Quercus robur,3.93,Áreas templadas de Asia,Pinnada,Amarilla,Herbáceo,Alta,4,Mediterráneo
652,Ficus carica,21.72,Bosques boreales,Pinnada,Rosa,Arbóreo,Alta,4,Desértico
653,Cactaceae echinopsis,23.68,Desiertos de América Latina,Espinosa,Blanca,Arbóreo,Media,5,Mediterráneo
654,Lilium candidum,29.94,Bosques boreales,Palmeada,Blanca,Herbáceo,Baja,4,Boreal
655,Betula pendula,17.55,Altiplano Andino,Palmeada,Sin flor visible,Rastrero,Baja,0,Desértico
656,Lilium candidum,5.54,Bosques boreales,Lanceolada,Rosa,Trepador,Media,5,Desértico
657,Lilium candidum,11.71,Bosques boreales,Lanceolada,Rosa,Rastrero,Baja,5,Boreal
658,Eucalyptus globulus,14.84,Selva Amazónica,Pinnada,Sin flor visible,Arbustivo,Media,3,Templado
659,Populus alba,26.01,Selva Amazónica,Espinosa,Rosa,Trepador,Baja,4,Desértico
660,Populus alba,23.05,Selva Amazónica,Pinnada,Amarilla,Rastrero,Media,6,Mediterráneo
661,Cactaceae echinopsis,14.57,Altiplano Andino,Lanceolada,Sin flor visible,Herbáceo,Baja,5,Tropical
662,Eucalyptus globulus,39.47,Áreas templadas de Asia,Lobulada,Amarilla,Arbustivo,Alta,6,Mediterráneo
663,Lilium candidum,24.43,Desiertos de América Latina,Lobulada,Rosa,Arbustivo,Media,0,Templado
664,Salvia officinalis,9.87,Desiertos de América Latina,Ovalada,Sin flor visible,Arbustivo,Media,3,Tropical
665,Populus alba,4.52,Zonas montañosas,Palmeada,Rosa,Trepador,Baja,1,Mediterráneo
666,Betula pendula,6.54,Selva Amazónica,Espinosa,Sin flor visible,Arbóreo,Media,6,Mediterráneo
667,Betula pendula,10.22,Altiplano Andino,Acicular,Rosa,Trepador,Media,5,Boreal
668,Quercus robur,6.85,Zonas montañosas,Palmeada,Amarilla,Rastrero,Media,0,Templado
669,Rosa canina,7.87,Áreas rurales de Europa,Acicular,Naranja,Arbóreo,Alta,2,Boreal
670,Salvia officinalis,11.76,Zonas montañosas,Ovalada,Amarilla,Rastrero,Alta,0,Tropical
671,Populus alba,7.35,Áreas templadas de Asia,Ovalada,Rosa,Arbóreo,Baja,0,Boreal
672,Pinus sylvestris,35.92,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Trepador,Alta,3,Templado
673,Populus alba,3.67,Bosques boreales,Lanceolada,Blanca,Arbustivo,Baja,1,Desértico
674,Quercus robur,21.22,Selva Amazónica,Ovalada,Amarilla,Herbáceo,Alta,2,Desértico
675,Betula pendula,16.71,Zonas costeras del Mediterráneo,Ovalada,Amarilla,Arbustivo,Baja,4,Tropical
676,Lilium candidum,39.3,Zonas montañosas,Acicular,Violeta,Trepador,Alta,4,Desértico
677,Pinus sylvestris,4.93,Altiplano Andino,Lanceolada,Blanca,Arbóreo,Alta,6,Boreal
678,Eucalyptus globulus,16.22,Bosques boreales,Ovalada,Rosa,Arbustivo,Baja,0,Tropical
679,Ficus carica,38.79,Desiertos de América Latina,Palmeada,Naranja,Trepador,Media,3,Templado
680,Lilium candidum,34.69,Bosques de Europa,Ovalada,Sin flor visible,Rastrero,Media,3,Tropical
681,Ficus carica,32.77,Bosques boreales,Lanceolada,Violeta,Herbáceo,Alta,4,Tropical
682,Salvia officinalis,10.69,Áreas templadas de Asia,Pinnada,Rosa,Arbustivo,Baja,6,Mediterráneo
683,Rosa canina,7.25,Áreas templadas de Asia,Espinosa,Roja,Arbóreo,Media,6,Mediterráneo
684,Pinus sylvestris,26.91,Zonas montañosas,Lanceolada,Naranja,Rastrero,Baja,6,Tropical
685,Cactaceae echinopsis,37.21,Áreas rurales de Europa,Acicular,Amarilla,Trepador,Media,2,Desértico
686,Pinus sylvestris,22.49,Áreas templadas de Asia,Espinosa,Roja,Herbáceo,Baja,1,Mediterráneo
687,Populus alba,23.08,Áreas templadas de Asia,Palmeada,Amarilla,Arbóreo,Alta,2,Templado
688,Betula pendula,11.56,Altiplano Andino,Lobulada,Amarilla,Trepador,Baja,5,Boreal
689,Populus alba,30.89,Zonas montañosas,Lanceolada,Roja,Trepador,Media,5,Mediterráneo
690,Populus alba,7.89,Bosques boreales,Pinnada,Naranja,Arbustivo,Alta,1,Tropical
691,Salvia officinalis,13.29,Áreas rurales de Europa,Acicular,Roja,Arbustivo,Baja,4,Desértico
692,Lilium candidum,17.3,Zonas costeras del Mediterráneo,Palmeada,Rosa,Arbóreo,Media,1,Boreal
693,Cactaceae echinopsis,20.55,Bosques de Europa,Espinosa,Violeta,Trepador,Alta,3,Mediterráneo
694,Cactaceae echinopsis,10.08,Selva Amazónica,Palmeada,Violeta,Arbustivo,Baja,5,Desértico
695,Populus alba,5.04,Desiertos de América Latina,Lanceolada,Roja,Herbáceo,Media,0,Desértico
696,Ficus carica,24.62,Áreas templadas de Asia,Ovalada,Rosa,Herbáceo,Baja,0,Desértico
697,Salvia officinalis,11.9,Zonas montañosas,Pinnada,Violeta,Trepador,Baja,4,Tropical
698,Populus alba,23.46,Selva Amazónica,Lanceolada,Rosa,Arbustivo,Alta,3,Templado
699,Rosa canina,6.6,Desiertos de América Latina,Lobulada,Rosa,Arbóreo,Alta,2,Desértico
700,Betula pendula,19.51,Desiertos de América Latina,Lanceolada,Amarilla,Arbóreo,Media,3,Boreal
701,Lilium candidum,21.54,Zonas costeras del Mediterráneo,Espinosa,Violeta,Arbóreo,Alta,0,Mediterráneo
702,Eucalyptus globulus,2.55,Zonas costeras del Mediterráneo,Espinosa,Violeta,Herbáceo,Media,0,Boreal
703,Rosa canina,13.8,Zonas costeras del Mediterráneo,Lanceolada,Amarilla,Arbustivo,Baja,5,Tropical
704,Ficus carica,5.81,Sabana Africana,Espinosa,Roja,Arbustivo,Baja,3,Tropical
705,Pinus sylvestris,3.0,Sabana Africana,Ovalada,Amarilla,Herbáceo,Media,3,Boreal
706,Pinus sylvestris,39.6,Desiertos de América Latina,Palmeada,Violeta,Arbóreo,Baja,0,Templado
707,Rosa canina,13.23,Zonas costeras del Mediterráneo,Lanceolada,Violeta,Arbóreo,Alta,2,Tropical
708,Populus alba,32.49,Altiplano Andino,Pinnada,Naranja,Trepador,Baja,4,Tropical
709,Eucalyptus globulus,10.56,Áreas templadas de Asia,Ovalada,Roja,Rastrero,Alta,6,Boreal
710,Quercus robur,27.42,Selva Amazónica,Palmeada,Amarilla,Arbustivo,Media,4,Tropical
711,Quercus robur,30.53,Selva Amazónica,Pinnada,Sin flor visible,Arbustivo,Media,3,Templado
712,Ficus carica,24.03,Sabana Africana,Pinnada,Sin flor visible,Arbustivo,Baja,4,Templado
713,Populus alba,19.13,Desiertos de América Latina,Pinnada,Roja,Rastrero,Baja,0,Templado
714,Cactaceae echinopsis,16.77,Zonas montañosas,Palmeada,Amarilla,Trepador,Alta,0,Mediterráneo
715,Cactaceae echinopsis,14.28,Bosques boreales,Ovalada,Amarilla,Rastrero,Alta,3,Templado
716,Lilium candidum,37.22,Bosques boreales,Pinnada,Rosa,Arbóreo,Baja,3,Templado
717,Eucalyptus globulus,33.31,Sabana Africana,Pinnada,Violeta,Arbóreo,Baja,6,Mediterráneo
718,Eucalyptus globulus,38.62,Zonas montañosas,Acicular,Blanca,Arbustivo,Media,6,Desértico
719,Pinus sylvestris,5.41,Sabana Africana,Lanceolada,Naranja,Herbáceo,Media,5,Tropical
720,Salvia officinalis,29.37,Bosques boreales,Palmeada,Roja,Arbustivo,Media,3,Templado
721,Ficus carica,37.56,Zonas montañosas,Palmeada,Blanca,Herbáceo,Baja,2,Tropical
722,Quercus robur,7.66,Zonas costeras del Mediterráneo,Espinosa,Blanca,Rastrero,Baja,4,Boreal
723,Ficus carica,3.13,Desiertos de América Latina,Palmeada,Roja,Arbóreo,Baja,3,Tropical
724,Cactaceae echinopsis,29.77,Selva Amazónica,Ovalada,Amarilla,Herbáceo,Media,1,Mediterráneo
725,Cactaceae echinopsis,23.19,Altiplano Andino,Palmeada,Roja,Rastrero,Baja,5,Tropical
726,Rosa canina,33.75,Áreas rurales de Europa,Acicular,Blanca,Arbóreo,Alta,1,Tropical
727,Lilium candidum,6.02,Desiertos de América Latina,Lanceolada,Violeta,Herbáceo,Baja,0,Tropical
728,Eucalyptus globulus,31.91,Zonas costeras del Mediterráneo,Lanceolada,Naranja,Arbustivo,Baja,6,Desértico
729,Betula pendula,8.46,Bosques boreales,Palmeada,Naranja,Arbustivo,Baja,4,Desértico
730,Ficus carica,6.96,Zonas costeras del Mediterráneo,Pinnada,Violeta,Arbustivo,Baja,3,Boreal
731,Cactaceae echinopsis,6.99,Sabana Africana,Lobulada,Violeta,Rastrero,Baja,1,Mediterráneo
732,Salvia officinalis,32.68,Zonas montañosas,Lobulada,Amarilla,Arbustivo,Alta,4,Tropical
733,Pinus sylvestris,26.78,Selva Amazónica,Pinnada,Sin flor visible,Trepador,Alta,0,Tropical
734,Quercus robur,21.16,Áreas templadas de Asia,Pinnada,Roja,Arbóreo,Baja,6,Tropical
735,Lilium candidum,14.67,Sabana Africana,Pinnada,Naranja,Rastrero,Media,2,Tropical
736,Salvia officinalis,35.15,Desiertos de América Latina,Ovalada,Violeta,Arbustivo,Baja,5,Desértico
737,Lilium candidum,16.0,Sabana Africana,Lobulada,Roja,Arbóreo,Baja,4,Boreal
738,Rosa canina,32.76,Desiertos de América Latina,Pinnada,Naranja,Herbáceo,Baja,4,Templado
739,Betula pendula,17.85,Áreas templadas de Asia,Ovalada,Violeta,Arbustivo,Media,2,Mediterráneo
740,Cactaceae echinopsis,15.39,Bosques de Europa,Espinosa,Naranja,Arbóreo,Media,4,Tropical
741,Pinus sylvestris,18.78,Selva Amazónica,Ovalada,Amarilla,Trepador,Media,0,Boreal
742,Salvia officinalis,12.4,Altiplano Andino,Lobulada,Sin flor visible,Herbáceo,Alta,0,Templado
743,Lilium candidum,30.03,Altiplano Andino,Palmeada,Sin flor visible,Trepador,Media,2,Boreal
744,Eucalyptus globulus,20.36,Áreas rurales de Europa,Espinosa,Violeta,Arbóreo,Alta,5,Desértico
745,Rosa canina,9.67,Zonas costeras del Mediterráneo,Lobulada,Naranja,Trepador,Alta,3,Templado
746,Eucalyptus globulus,36.03,Bosques de Europa,Ovalada,Amarilla,Arbóreo,Media,1,Boreal
747,Pinus sylvestris,15.66,Altiplano Andino,Acicular,Rosa,Arbóreo,Media,3,Desértico
748,Salvia officinalis,21.97,Sabana Africana,Lanceolada,Roja,Trepador,Media,4,Boreal
749,Rosa canina,36.31,Zonas costeras del Mediterráneo,Lobulada,Roja,Arbóreo,Alta,1,Boreal
750,Salvia officinalis,25.16,Bosques de Europa,Pinnada,Blanca,Arbustivo,Baja,2,Templado
751,Cactaceae echinopsis,5.12,Zonas montañosas,Ovalada,Amarilla,Arbóreo,Media,2,Desértico
752,Populus alba,37.62,Zonas montañosas,Pinnada,Naranja,Rastrero,Media,5,Tropical
753,Rosa canina,25.29,Zonas costeras del Mediterráneo,Pinnada,Blanca,Arbóreo,Media,1,Mediterráneo
754,Eucalyptus globulus,13.73,Desiertos de América Latina,Pinnada,Violeta,Rastrero,Alta,0,Templado
755,Pinus sylvestris,6.0,Desiertos de América Latina,Pinnada,Naranja,Arbóreo,Alta,1,Desértico
756,Betula pendula,31.86,Sabana Africana,Pinnada,Blanca,Arbóreo,Baja,4,Boreal
757,Cactaceae echinopsis,24.99,Bosques de Europa,Espinosa,Sin flor visible,Trepador,Media,0,Desértico
758,Populus alba,21.57,Bosques de Europa,Lobulada,Roja,Arbustivo,Alta,6,Mediterráneo
759,Betula pendula,35.81,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbustivo,Baja,6,Mediterráneo
760,Quercus robur,31.65,Bosques boreales,Lanceolada,Blanca,Herbáceo,Media,6,Tropical
761,Cactaceae echinopsis,6.49,Zonas montañosas,Ovalada,Sin flor visible,Trepador,Alta,2,Tropical
762,Pinus sylvestris,12.81,Bosques de Europa,Acicular,Amarilla,Trepador,Media,1,Mediterráneo
763,Lilium candidum,10.32,Zonas costeras del Mediterráneo,Espinosa,Blanca,Arbustivo,Media,6,Templado
764,Rosa canina,29.89,Áreas templadas de Asia,Ovalada,Violeta,Trepador,Alta,3,Templado
765,Salvia officinalis,1.82,Áreas rurales de Europa,Espinosa,Violeta,Arbustivo,Alta,5,Boreal
766,Pinus sylvestris,23.01,Áreas templadas de Asia,Lobulada,Violeta,Trepador,Alta,3,Tropical
767,Rosa canina,30.62,Selva Amazónica,Pinnada,Naranja,Arbóreo,Media,6,Boreal
768,Betula pendula,35.13,Sabana Africana,Lanceolada,Roja,Arbustivo,Media,5,Tropical
769,Salvia officinalis,14.01,Bosques de Europa,Lanceolada,Blanca,Arbustivo,Baja,4,Mediterráneo
770,Ficus carica,32.94,Selva Amazónica,Palmeada,Amarilla,Rastrero,Media,3,Templado
771,Eucalyptus globulus,4.87,Altiplano Andino,Acicular,Blanca,Trepador,Alta,1,Templado
772,Quercus robur,33.93,Selva Amazónica,Lanceolada,Roja,Trepador,Media,1,Mediterráneo
773,Cactaceae echinopsis,5.54,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Arbustivo,Baja,3,Boreal
774,Pinus sylvestris,16.19,Bosques de Europa,Lobulada,Roja,Arbóreo,Baja,6,Boreal
775,Quercus robur,31.99,Áreas rurales de Europa,Acicular,Violeta,Arbóreo,Alta,1,Desértico
776,Lilium candidum,6.42,Zonas costeras del Mediterráneo,Ovalada,Naranja,Arbóreo,Alta,4,Tropical
777,Rosa canina,9.56,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Trepador,Baja,0,Boreal
778,Rosa canina,29.03,Sabana Africana,Pinnada,Naranja,Rastrero,Baja,6,Mediterráneo
779,Pinus sylvestris,28.94,Sabana Africana,Lanceolada,Violeta,Arbustivo,Baja,4,Boreal
780,Populus alba,25.83,Zonas montañosas,Acicular,Rosa,Herbáceo,Alta,5,Templado
781,Populus alba,27.91,Zonas montañosas,Lobulada,Roja,Rastrero,Baja,4,Tropical
782,Ficus carica,21.94,Desiertos de América Latina,Palmeada,Roja,Herbáceo,Baja,6,Desértico
783,Eucalyptus globulus,10.45,Bosques boreales,Espinosa,Amarilla,Rastrero,Alta,5,Tropical
784,Salvia officinalis,14.15,Bosques de Europa,Espinosa,Blanca,Arbóreo,Media,6,Templado
785,Lilium candidum,7.67,Bosques de Europa,Lobulada,Sin flor visible,Trepador,Media,1,Templado
786,Quercus robur,36.38,Selva Amazónica,Lobulada,Naranja,Herbáceo,Baja,0,Templado
787,Populus alba,23.54,Bosques de Europa,Espinosa,Sin flor visible,Rastrero,Media,6,Templado
788,Ficus carica,16.33,Bosques de Europa,Palmeada,Amarilla,Trepador,Media,6,Mediterráneo
789,Ficus carica,18.75,Bosques boreales,Acicular,Amarilla,Herbáceo,Media,1,Desértico
790,Pinus sylvestris,37.92,Altiplano Andino,Espinosa,Naranja,Arbustivo,Media,2,Templado
791,Lilium candidum,6.56,Zonas montañosas,Lobulada,Blanca,Rastrero,Baja,1,Templado
792,Betula pendula,23.66,Zonas montañosas,Lanceolada,Naranja,Arbustivo,Media,5,Boreal
793,Salvia officinalis,20.48,Áreas rurales de Europa,Ovalada,Naranja,Arbóreo,Media,1,Desértico
794,Eucalyptus globulus,24.65,Bosques de Europa,Palmeada,Violeta,Arbustivo,Alta,1,Tropical
795,Cactaceae echinopsis,1.22,Bosques boreales,Pinnada,Blanca,Arbustivo,Baja,0,Desértico
796,Pinus sylvestris,34.95,Zonas montañosas,Palmeada,Roja,Rastrero,Alta,1,Desértico
797,Salvia officinalis,37.32,Bosques boreales,Lanceolada,Violeta,Arbóreo,Alta,6,Desértico
798,Cactaceae echinopsis,22.82,Áreas templadas de Asia,Lanceolada,Rosa,Arbustivo,Baja,0,Templado
